date,temp_delhi,temp_mumbai,temp_akola,NCI,date_only
2026-02-01,20.8,31.8,30.4,26.019999999999996,2026-02-01
2026-02-02,19.7,33.2,31.3,26.070000000000004,2026-02-02
2026-02-03,19.6,32.2,30.8,25.62,2026-02-03
2026-02-04,20.2,33.8,30.4,26.32,2026-02-04
2026-02-05,21.2,33.8,30.5,26.84,2026-02-05
2026-02-06,22.6,33.7,30.4,27.490000000000002,2026-02-06
2026-02-07,23.6,33.2,30.0,27.76,2026-02-07
2026-02-08,22.8,33.5,30.3,27.509999999999998,2026-02-08
2026-02-09,24.0,31.1,31.1,27.549999999999997,2026-02-09
2026-02-10,27.1,30.5,32.0,29.1,2026-02-10
2026-02-11,27.0,33.8,31.6,29.96,2026-02-11
2026-02-12,25.0,32.7,32.3,28.770000000000003,2026-02-12
2026-02-13,25.5,33.0,32.3,29.11,2026-02-13
2026-02-14,26.9,34.5,32.6,30.319999999999997,2026-02-14
2026-02-15,28.1,34.5,32.2,30.84,2026-02-15
2026-02-16,30.3,32.0,32.8,31.31,2026-02-16
2026-02-17,29.2,30.3,32.8,30.249999999999996,2026-02-17
2026-02-18,23.9,28.5,33.5,27.2,2026-02-18
2026-02-19,26.3,30.4,32.7,28.810000000000002,2026-02-19
2026-02-20,27.9,32.7,34.0,30.56,2026-02-20
2026-02-21,27.2,35.8,32.7,30.879999999999995,2026-02-21
2026-02-22,28.4,34.2,34.0,31.26,2026-02-22
2026-02-23,29.4,34.0,33.8,31.659999999999997,2026-02-23
2026-02-24,29.6,32.5,32.5,31.05,2026-02-24
2026-02-25,29.0,31.9,32.0,30.47,2026-02-25
2026-02-26,29.7,29.8,34.0,30.59,2026-02-26
2026-02-27,30.8,29.8,33.5,31.04,2026-02-27
2026-02-28,31.9,30.2,33.7,31.75,2026-02-28
2026-03-01,30.6,30.2,34.2,31.2,2026-03-01
2026-03-02,30.8,30.4,34.7,31.46,2026-03-02
2026-03-03,31.4,34.2,35.1,32.980000000000004,2026-03-03
2026-03-04,33.2,38.0,35.8,35.16,2026-03-04
2026-03-05,34.0,38.0,36.3,35.66,2026-03-05
2026-03-06,34.5,34.6,36.5,34.93000000000001,2026-03-06
2026-03-07,35.2,32.2,36.8,34.620000000000005,2026-03-07
2026-03-08,35.8,35.5,37.3,36.01,2026-03-08
2026-03-09,35.5,38.8,37.3,36.85,2026-03-09
2026-03-10,35.5,39.8,37.7,37.23,2026-03-10
2026-03-11,36.3,33.2,37.7,35.65,2026-03-11
2026-03-12,35.9,34.0,37.8,35.71,2026-03-12
2026-03-13,32.5,37.7,38.2,35.2,2026-03-13
2026-03-14,33.0,33.7,38.4,34.29,2026-03-14
2026-03-15,27.3,31.8,37.0,30.589999999999996,2026-03-15
2026-03-16,30.8,31.5,36.3,32.11,2026-03-16
2026-03-17,31.5,31.0,36.4,32.33,2026-03-17
2026-03-18,32.2,30.8,36.0,32.540000000000006,2026-03-18
2026-03-19,27.1,30.4,34.7,29.610000000000003,2026-03-19
2026-03-20,20.6,31.0,31.5,25.900000000000002,2026-03-20
2026-03-21,25.5,33.8,33.0,29.490000000000002,2026-03-21
2026-03-22,27.0,35.8,33.8,31.0,2026-03-22
2026-03-23,26.9,36.2,36.0,31.51,2026-03-23
2026-03-24,29.6,35.8,36.5,32.84,2026-03-24
2026-03-25,31.5,34.0,37.4,33.43,2026-03-25
2026-03-26,34.8,35.5,38.2,35.69,2026-03-26
2026-03-27,29.3,36.8,38.0,33.29,2026-03-27
2026-03-28,33.0,31.9,37.8,33.63,2026-03-28
2026-03-29,35.0,31.2,37.6,34.38,2026-03-29
2026-03-30,34.7,32.7,39.0,34.96000000000001,2026-03-30
2026-03-31,35.0,32.5,36.4,34.53,2026-03-31
2026-04-01,33.0,31.0,38.1,33.42,2026-04-01
2026-04-02,34.2,31.5,36.8,33.91,2026-04-02
2026-04-03,32.0,32.5,36.0,32.95,2026-04-03
2026-04-04,30.3,32.0,34.0,31.55,2026-04-04
2026-04-05,29.2,30.1,34.2,30.47,2026-04-05
2026-04-06,31.6,30.6,34.2,31.82,2026-04-06
2026-04-07,28.8,31.4,34.5,30.72,2026-04-07
2026-04-08,25.5,31.6,34.3,29.09,2026-04-08
2026-04-09,28.6,31.9,35.6,30.99,2026-04-09
2026-04-10,31.2,33.4,37.0,33.019999999999996,2026-04-10
2026-04-11,32.9,33.5,38.2,34.14,2026-04-11
2026-04-12,34.2,34.7,39.1,35.33,2026-04-12
2026-04-13,34.5,32.2,40.0,34.91,2026-04-13
2026-04-14,37.5,34.8,40.4,37.269999999999996,2026-04-14
2026-04-15,38.7,34.0,40.7,37.69,2026-04-15
2026-04-16,39.8,32.5,40.5,37.75,2026-04-16
2026-04-17,40.2,32.5,41.3,38.11,2026-04-17
2026-04-18,40.2,34.2,40.8,38.519999999999996,2026-04-18
2026-04-19,40.1,34.2,41.3,38.57,2026-04-19
2026-04-20,39.5,35.0,40.5,38.35,2026-04-20
2026-04-21,38.6,35.4,40.5,38.02,2026-04-21
