period_start,period,purchase_bid,sell_bid,mcv,mcp,final_scheduled_volume
2026-02-01 00:00:00,00:00 - 00:15,11446.6,30678.9,6813.1,2430.97,6813.1
2026-02-01 00:15:00,00:15 - 00:30,12066.8,32484.0,7292.5,2461.91,7292.5
2026-02-01 00:30:00,00:30 - 00:45,12510.9,34476.2,7501.1,2461.75,7501.1
2026-02-01 00:45:00,00:45 - 01:00,12502.6,36013.3,7349.0,2461.03,7349.0
2026-02-01 01:00:00,01:00 - 01:15,12423.8,36515.8,7466.6,2430.36,7466.6
2026-02-01 01:15:00,01:15 - 01:30,12591.0,36820.8,7666.2,2430.22,7666.2
2026-02-01 01:30:00,01:30 - 01:45,12324.9,37071.2,7489.0,2368.17,7489.0
2026-02-01 01:45:00,01:45 - 02:00,12360.6,37409.0,7527.58,2350.84,7527.58
2026-02-01 02:00:00,02:00 - 02:15,12539.3,36800.8,7701.2,2368.01,7701.2
2026-02-01 02:15:00,02:15 - 02:30,12736.8,36694.3,7902.6,2364.15,7902.6
2026-02-01 02:30:00,02:30 - 02:45,12894.2,36983.0,8083.93,2350.12,8083.93
2026-02-01 02:45:00,02:45 - 03:00,13161.9,37010.7,8341.0,2364.44,8341.0
2026-02-01 03:00:00,03:00 - 03:15,13112.5,36957.8,8308.35,2350.4,8308.35
2026-02-01 03:15:00,03:15 - 03:30,13582.1,36965.5,8774.4,2368.44,8774.4
2026-02-01 03:30:00,03:30 - 03:45,13693.0,36918.9,8884.1,2368.59,8884.1
2026-02-01 03:45:00,03:45 - 04:00,13802.3,36863.8,8998.5,2368.94,8998.5
2026-02-01 04:00:00,04:00 - 04:15,12660.0,36459.6,7876.3,2341.33,7876.3
2026-02-01 04:15:00,04:15 - 04:30,12698.3,35614.8,7888.8,2364.49,7888.8
2026-02-01 04:30:00,04:30 - 04:45,12887.0,35066.5,8068.0,2368.76,8068.0
2026-02-01 04:45:00,04:45 - 05:00,12999.9,34367.3,8015.1,2430.52,8015.1
2026-02-01 05:00:00,05:00 - 05:15,13566.7,29015.1,8147.8,2470.86,8147.8
2026-02-01 05:15:00,05:15 - 05:30,13176.7,26614.1,7245.81,2780.79,7245.81
2026-02-01 05:30:00,05:30 - 05:45,13555.5,23334.3,7370.5,2999.32,7370.5
2026-02-01 05:45:00,05:45 - 06:00,13790.2,21357.6,7462.3,3080.3,7462.3
